ticket_id,customer_id,created_at,channel,priority,issue_category,ticket_text,sentiment,first_response_hours,resolution_hours,resolved
200030,C100014,2024-05-30T07:14,Email,Medium,billing_admin,We were charged for extra users we don't have.,0.49,1.88,2.95,1
200031,C100014,2024-10-27T00:04,Email,Medium,product_usability,The new dashboard is confusing for my staff.,0.32,3.7,4.4,1
200032,C100014,2024-12-27T02:32,Chat,Medium,product_performance,The reporting page keeps timing out.,-0.09,0.1,2.98,1
200033,C100015,2024-04-23T17:08,In-App,Medium,billing_admin,I need to change our billing email and can't find the option.,0.65,1.08,2.49,1
200034,C100017,2024-09-17T06:06,Email,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.17,4.57,5.2,1
200035,C100017,2024-11-08T13:29,Email,Medium,sales_expectation,We expected multi-warehouse support out of the box.,0.27,2.72,4.0,1
200036,C100017,2024-09-12T12:46,Phone,High,product_performance,Dashboard loads very slowly during peak hours.,0.27,14.91,21.54,1
200037,C100017,2024-11-16T06:12,In-App,Low,product_performance,Inventory sync takes too long to complete.,-0.09,11.1,12.68,1
200038,C100018,2024-07-08T14:15,Email,Medium,product_usability,Bulk upload flow is not intuitive.,-0.17,1.79,8.57,1
200039,C100018,2024-12-19T20:34,Email,Urgent,product_performance,Dashboard loads very slowly during peak hours.,0.3,14.66,26.02,1
200040,C100018,2024-11-23T13:31,In-App,Medium,product_usability,The new dashboard is confusing for my staff.,-0.22,1.41,25.89,1
200041,C100018,2024-08-10T05:24,Email,Urgent,billing_admin,We were charged for extra users we don't have.,-0.5,3.08,4.07,1
200042,C100019,2024-10-18T09:27,In-App,Low,sales_expectation,We expected multi-warehouse support out of the box.,0.15,1.62,3.52,1
200043,C100019,2024-03-10T01:37,Email,High,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",-0.33,8.79,16.49,1
200044,C100020,2024-02-25T18:30,Chat,Low,product_performance,Dashboard loads very slowly during peak hours.,0.07,10.67,38.43,1
200045,C100021,2024-07-13T02:38,Email,Medium,product_performance,Inventory sync takes too long to complete.,0.29,0.7,23.78,1
200046,C100021,2024-12-28T03:56,Chat,Medium,product_usability,Search results are not clearly sorted.,0.24,18.44,20.94,0
200047,C100021,2024-04-07T13:42,Phone,High,product_performance,Dashboard loads very slowly during peak hours.,-0.49,3.78,19.38,1
200048,C100021,2024-10-15T07:16,In-App,Low,product_usability,Bulk upload flow is not intuitive.,0.15,3.75,12.09,1
200049,C100022,2024-08-22T10:59,Email,Low,sales_expectation,We expected multi-warehouse support out of the box.,-0.04,3.8,6.34,1
200050,C100022,2024-11-30T17:13,Phone,Low,product_performance,Dashboard loads very slowly during peak hours.,-0.39,0.26,3.84,1
200051,C100023,2024-03-21T07:23,Phone,Low,sales_expectation,Sales promised a custom report that doesn't exist.,0.2,2.02,3.45,1
200052,C100023,2024-12-30T21:52,Phone,High,sales_expectation,Sales promised a custom report that doesn't exist.,-0.19,3.96,16.92,1
200053,C100023,2024-09-02T08:07,Email,High,product_performance,Inventory sync takes too long to complete.,-0.17,5.19,18.21,1
200054,C100025,2024-06-16T09:38,Chat,High,product_usability,Bulk upload flow is not intuitive.,-0.23,5.18,11.26,1
200055,C100026,2024-12-01T16:31,Phone,High,product_usability,Bulk upload flow is not intuitive.,0.13,5.62,13.4,1
200056,C100028,2024-07-24T20:27,Phone,Low,product_performance,Dashboard loads very slowly during peak hours.,0.16,16.73,32.82,1
200057,C100032,2024-10-25T20:16,Chat,High,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",0.22,1.6,4.63,1
200058,C100033,2024-06-04T03:04,Chat,Medium,billing_admin,We were charged for extra users we don't have.,0.03,2.03,6.57,1
200059,C100034,2024-06-08T13:08,Email,Medium,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",-0.19,3.76,7.5,1
200060,C100034,2024-05-24T06:43,Chat,Medium,product_performance,The reporting page keeps timing out.,0.34,0.37,23.13,1
200061,C100034,2024-12-13T19:47,Chat,High,sales_expectation,We expected multi-warehouse support out of the box.,-0.2,0.3,5.89,1
200062,C100035,2024-10-03T05:56,In-App,Low,product_usability,The new dashboard is confusing for my staff.,0.34,0.23,29.52,1
200063,C100036,2024-08-19T21:55,Chat,Medium,sales_expectation,We expected multi-warehouse support out of the box.,0.15,3.71,12.65,1
200064,C100036,2024-03-17T01:54,In-App,Medium,product_performance,Mobile app crashes when I try to view inventory levels.,0.38,22.76,25.2,1
200065,C100037,2024-10-30T09:52,Chat,Medium,billing_admin,Our discount was not applied to this renewal.,0.51,18.18,21.78,1
200066,C100039,2024-02-29T10:17,Email,Urgent,product_usability,Search results are not clearly sorted.,0.02,0.32,2.95,1
200067,C100039,2024-12-02T20:32,In-App,Medium,sales_expectation,Pricing discussed in the demo does not match our invoice.,-0.29,0.22,12.39,1
200068,C100039,2024-08-27T03:56,Phone,Low,sales_expectation,Sales promised a custom report that doesn't exist.,-0.07,7.55,10.22,1
200069,C100040,2024-07-18T03:38,In-App,Medium,sales_expectation,Sales promised a custom report that doesn't exist.,-0.18,1.91,11.85,1
200070,C100040,2024-11-05T19:32,Email,Medium,sales_expectation,We expected multi-warehouse support out of the box.,-0.19,4.38,9.0,1
200071,C100041,2024-11-12T01:45,In-App,Low,product_usability,Bulk upload flow is not intuitive.,0.25,2.61,8.1,1
200072,C100042,2024-04-08T13:04,Phone,Medium,product_usability,Bulk upload flow is not intuitive.,0.17,5.58,11.66,0
200073,C100043,2024-10-08T16:19,In-App,Medium,product_performance,The reporting page keeps timing out.,-0.2,4.32,18.17,1
200074,C100043,2024-03-31T06:26,In-App,Medium,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",0.17,1.58,1.74,1
200075,C100043,2024-05-07T12:35,Email,Medium,product_usability,Bulk upload flow is not intuitive.,0.0,14.95,22.16,1
200076,C100044,2024-12-27T18:38,Phone,Medium,product_usability,Search results are not clearly sorted.,0.15,0.72,8.8,1
200077,C100044,2024-07-17T16:30,Chat,Medium,billing_admin,I need to change our billing email and can't find the option.,0.29,5.11,5.14,1
200078,C100045,2024-09-07T02:52,Chat,Medium,sales_expectation,Pricing discussed in the demo does not match our invoice.,-0.01,2.05,16.25,1
200079,C100046,2024-09-24T04:01,Email,Medium,product_usability,The new dashboard is confusing for my staff.,0.13,2.12,9.01,1
200080,C100046,2024-05-04T14:26,Chat,High,billing_admin,We were charged for extra users we don't have.,0.21,5.67,6.61,1
200081,C100047,2024-07-09T12:15,Chat,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.11,2.44,14.32,0
200082,C100047,2024-09-17T13:14,Chat,High,product_performance,Dashboard loads very slowly during peak hours.,-0.18,3.62,13.1,1
200083,C100047,2024-08-17T17:15,Email,Medium,billing_admin,We were charged for extra users we don't have.,-0.02,0.1,0.69,1
200084,C100047,2024-09-19T14:39,In-App,High,billing_admin,Our discount was not applied to this renewal.,-0.49,0.51,2.09,1
200085,C100047,2024-05-27T23:55,In-App,Medium,billing_admin,I need to change our billing email and can't find the option.,-0.53,2.54,9.71,0
200086,C100047,2024-12-08T16:31,Chat,Medium,product_usability,Bulk upload flow is not intuitive.,0.68,0.64,14.28,1
200087,C100047,2024-10-11T07:17,Phone,Medium,product_performance,The reporting page keeps timing out.,-0.75,3.11,14.7,1
200088,C100048,2024-08-23T04:14,In-App,Medium,product_performance,Inventory sync takes too long to complete.,-0.21,1.39,8.21,0
200089,C100048,2024-07-24T13:26,Phone,Medium,product_usability,It's hard to find where to update product SKUs.,-0.29,6.99,9.91,1
200090,C100048,2024-07-30T06:53,In-App,Medium,billing_admin,We were charged for extra users we don't have.,-0.07,0.1,0.63,1
200091,C100048,2024-06-01T15:00,Phone,Medium,product_performance,Mobile app crashes when I try to view inventory levels.,0.52,1.12,15.56,1
200092,C100048,2024-03-31T17:47,Chat,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.39,0.61,2.69,1
200093,C100050,2024-06-16T15:01,In-App,Medium,sales_expectation,We expected multi-warehouse support out of the box.,-0.29,5.57,6.35,1
200094,C100050,2024-07-03T14:58,Chat,Urgent,billing_admin,I need to change our billing email and can't find the option.,0.36,20.68,21.56,0
200095,C100051,2024-08-26T18:36,Email,Low,product_performance,Mobile app crashes when I try to view inventory levels.,0.01,0.84,24.44,1
200096,C100051,2024-11-15T14:11,Email,Medium,billing_admin,I need to change our billing email and can't find the option.,-0.35,3.1,7.11,1
200097,C100052,2024-11-13T14:20,Phone,High,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",0.1,17.59,36.49,1
200098,C100053,2024-12-16T13:16,Email,Medium,billing_admin,Our discount was not applied to this renewal.,0.11,6.23,8.36,1
200099,C100053,2024-06-18T07:41,Email,High,product_performance,The reporting page keeps timing out.,-0.15,5.79,13.33,1
200100,C100053,2024-10-02T07:12,Email,Medium,product_performance,Dashboard loads very slowly during peak hours.,-0.11,4.5,6.49,1
200101,C100054,2024-08-13T15:42,Email,Medium,product_usability,The new dashboard is confusing for my staff.,0.15,0.13,44.05,1
200102,C100054,2024-08-21T22:16,Phone,Low,product_usability,Search results are not clearly sorted.,-0.09,2.48,11.3,1
200103,C100054,2024-12-23T09:06,Email,High,product_performance,Inventory sync takes too long to complete.,-0.34,0.1,17.96,1
200104,C100054,2024-09-04T22:12,Email,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.4,3.26,21.38,1
200105,C100056,2024-11-21T22:49,Phone,High,product_usability,It's hard to find where to update product SKUs.,0.3,16.59,27.86,1
200106,C100056,2024-02-24T11:34,In-App,Medium,product_performance,Dashboard loads very slowly during peak hours.,0.08,2.78,37.08,1
200107,C100056,2024-09-05T00:54,In-App,High,product_performance,The reporting page keeps timing out.,-0.59,9.22,14.18,1
200108,C100058,2024-12-26T11:40,In-App,High,product_performance,Mobile app crashes when I try to view inventory levels.,0.06,7.46,9.02,1
200109,C100059,2024-04-03T23:33,Phone,Medium,billing_admin,I need to change our billing email and can't find the option.,-0.28,6.61,10.16,1
200110,C100059,2024-05-25T13:52,Phone,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.16,0.45,14.44,1
200111,C100059,2024-08-14T08:56,In-App,Medium,product_usability,It's hard to find where to update product SKUs.,0.24,0.14,7.65,1
200112,C100059,2024-08-15T10:01,In-App,High,billing_admin,VAT appears to be calculated incorrectly.,0.32,0.48,5.8,1
200113,C100060,2024-07-25T06:22,Phone,Medium,product_usability,Search results are not clearly sorted.,0.4,7.69,20.2,1
200114,C100060,2024-11-08T16:12,Email,Medium,sales_expectation,Sales promised a custom report that doesn't exist.,0.02,1.09,6.59,1
200115,C100060,2024-04-13T17:48,Chat,Medium,billing_admin,VAT appears to be calculated incorrectly.,0.03,1.33,1.66,1
200116,C100060,2024-10-04T00:05,Phone,Medium,billing_admin,VAT appears to be calculated incorrectly.,0.24,5.73,14.5,1
200117,C100061,2024-11-04T21:37,Phone,Medium,product_usability,Bulk upload flow is not intuitive.,-0.15,30.9,31.24,1
200118,C100064,2024-08-11T23:35,Phone,Medium,sales_expectation,We expected multi-warehouse support out of the box.,-0.17,4.14,17.77,1
200119,C100064,2024-06-29T09:16,Chat,Low,billing_admin,Our discount was not applied to this renewal.,-0.4,18.95,19.68,1
200120,C100065,2024-12-19T03:47,Chat,Low,product_usability,Bulk upload flow is not intuitive.,0.23,5.47,14.11,1
200121,C100065,2024-11-14T23:37,Phone,Urgent,billing_admin,Our discount was not applied to this renewal.,0.79,0.87,10.61,1
200122,C100066,2024-04-08T07:23,Chat,Medium,product_usability,Bulk upload flow is not intuitive.,-0.25,2.95,22.82,1
200123,C100067,2024-12-04T01:03,Phone,Medium,product_usability,Bulk upload flow is not intuitive.,-0.17,5.19,18.76,1
200124,C100067,2024-12-30T03:55,Email,Medium,product_usability,Search results are not clearly sorted.,0.01,1.16,3.36,1
200125,C100067,2024-11-28T14:21,Chat,Urgent,billing_admin,VAT appears to be calculated incorrectly.,0.43,6.56,11.84,1
200126,C100068,2024-08-02T03:52,Email,Medium,sales_expectation,We expected multi-warehouse support out of the box.,-0.11,6.49,12.49,1
200127,C100068,2024-09-13T04:09,Phone,Low,product_performance,Dashboard loads very slowly during peak hours.,0.01,1.13,9.67,1
200128,C100068,2024-10-28T17:48,In-App,Medium,product_usability,It's hard to find where to update product SKUs.,0.45,1.2,38.46,1
200129,C100068,2024-03-30T14:58,In-App,Medium,product_usability,Search results are not clearly sorted.,0.0,3.73,14.86,1
200130,C100068,2024-12-29T18:39,Email,Medium,billing_admin,Our discount was not applied to this renewal.,0.16,1.82,6.87,1
200131,C100069,2024-06-27T20:13,Phone,Medium,product_performance,Inventory sync takes too long to complete.,-0.15,0.7,16.77,1
200132,C100069,2024-11-24T05:35,Email,Low,product_usability,The new dashboard is confusing for my staff.,-0.19,0.12,34.47,1
200133,C100069,2024-12-09T22:38,In-App,Medium,billing_admin,VAT appears to be calculated incorrectly.,0.39,3.39,4.59,1
200134,C100069,2024-10-16T22:18,In-App,Low,product_usability,Bulk upload flow is not intuitive.,-0.26,1.61,6.24,1
200135,C100069,2024-09-16T20:37,Chat,Medium,product_usability,Bulk upload flow is not intuitive.,-0.01,0.1,5.89,1
200136,C100069,2024-12-17T08:52,Chat,Low,product_usability,The new dashboard is confusing for my staff.,-0.06,0.12,17.02,1
200137,C100070,2024-06-28T19:47,Phone,Medium,product_usability,Bulk upload flow is not intuitive.,-0.14,0.1,7.82,1
200138,C100070,2024-09-24T22:25,Phone,Medium,billing_admin,Our discount was not applied to this renewal.,-0.05,9.29,9.4,1
200139,C100070,2024-10-23T02:38,Email,High,billing_admin,VAT appears to be calculated incorrectly.,-0.15,26.1,39.44,0
200140,C100071,2024-12-11T00:05,Chat,Urgent,sales_expectation,Pricing discussed in the demo does not match our invoice.,0.59,1.77,8.55,1
200141,C100073,2024-10-28T18:02,Chat,Medium,product_performance,The reporting page keeps timing out.,0.01,1.01,10.99,1
200142,C100073,2024-11-04T05:37,In-App,Medium,billing_admin,Our discount was not applied to this renewal.,-0.01,1.21,22.03,1
200143,C100073,2024-11-18T15:22,In-App,Medium,billing_admin,We were charged for extra users we don't have.,-0.24,5.28,6.51,1
200144,C100073,2024-12-28T10:26,In-App,Medium,product_performance,Inventory sync takes too long to complete.,0.42,4.98,16.16,1
200145,C100073,2024-11-09T14:05,Phone,Medium,billing_admin,We were charged for extra users we don't have.,-0.19,2.1,4.27,1
200146,C100073,2024-02-27T16:52,Email,Medium,product_performance,Mobile app crashes when I try to view inventory levels.,0.8,0.3,9.05,1
200147,C100074,2024-07-15T01:12,Phone,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.19,2.9,10.35,1
200148,C100074,2024-12-07T01:13,Phone,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.63,3.64,4.85,1
200149,C100075,2024-11-26T22:31,Email,Low,sales_expectation,We expected multi-warehouse support out of the box.,-0.09,3.23,5.26,1
200150,C100076,2024-03-15T09:35,Email,Medium,product_usability,The new dashboard is confusing for my staff.,0.38,2.77,8.92,1
200151,C100076,2024-06-07T03:29,Email,Medium,product_performance,Inventory sync takes too long to complete.,-0.29,10.23,13.7,1
200152,C100077,2024-10-22T22:18,Phone,Medium,product_usability,Search results are not clearly sorted.,-0.62,4.41,8.77,1
200153,C100077,2024-08-13T07:29,Chat,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.12,3.67,10.86,1
200154,C100077,2024-05-05T08:49,In-App,Medium,product_usability,It's hard to find where to update product SKUs.,0.04,1.97,5.93,1
200155,C100078,2024-10-26T09:46,Phone,High,sales_expectation,Sales promised a custom report that doesn't exist.,-0.31,0.14,3.6,1
200156,C100079,2024-06-09T14:34,In-App,Medium,billing_admin,I need to change our billing email and can't find the option.,0.21,9.91,10.69,1
200157,C100079,2024-08-06T10:55,Chat,Urgent,billing_admin,VAT appears to be calculated incorrectly.,-0.5,9.42,9.69,1
200158,C100080,2024-10-07T07:54,In-App,Low,product_usability,Search results are not clearly sorted.,0.2,5.1,15.59,1
200159,C100080,2024-03-25T12:42,Chat,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.35,25.86,42.53,1
200160,C100080,2024-10-15T16:37,Phone,High,product_performance,Inventory sync takes too long to complete.,-0.15,6.73,51.56,1
200161,C100080,2024-10-15T16:58,In-App,Low,billing_admin,We were charged for extra users we don't have.,0.34,2.85,5.62,1
200162,C100081,2024-12-23T20:09,Email,Medium,product_usability,Search results are not clearly sorted.,-0.3,1.52,17.14,1
200163,C100081,2024-09-17T19:44,In-App,Medium,sales_expectation,Pricing discussed in the demo does not match our invoice.,0.59,4.8,9.64,1
200164,C100081,2024-06-01T10:40,In-App,High,sales_expectation,We expected multi-warehouse support out of the box.,0.46,5.97,11.76,1
200165,C100081,2024-11-25T07:40,Phone,Urgent,product_performance,Dashboard loads very slowly during peak hours.,0.08,4.3,12.94,1
200166,C100082,2024-08-01T03:48,Email,Medium,product_performance,Mobile app crashes when I try to view inventory levels.,-0.24,2.84,17.26,1
200167,C100082,2024-10-15T01:20,Email,Medium,sales_expectation,Sales promised a custom report that doesn't exist.,-0.31,1.62,7.58,1
200168,C100082,2024-07-25T04:15,In-App,Medium,sales_expectation,We expected multi-warehouse support out of the box.,-0.31,1.55,5.94,1
200169,C100082,2024-08-09T05:05,In-App,Medium,product_usability,The new dashboard is confusing for my staff.,-0.43,0.1,4.09,1
200170,C100083,2024-06-26T18:09,Chat,Medium,product_usability,Search results are not clearly sorted.,0.61,2.13,13.31,1
200171,C100085,2024-06-02T08:42,Email,High,sales_expectation,We expected multi-warehouse support out of the box.,-0.25,0.52,1.86,0
200172,C100085,2024-11-11T21:34,Chat,Low,billing_admin,Our discount was not applied to this renewal.,0.5,0.12,0.68,1
200173,C100085,2024-11-27T20:27,Phone,Medium,sales_expectation,Pricing discussed in the demo does not match our invoice.,-0.18,0.1,14.6,1
200174,C100085,2024-06-15T12:54,In-App,Low,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",-0.01,0.7,4.84,1
200175,C100085,2024-07-08T18:18,Phone,Low,billing_admin,Our discount was not applied to this renewal.,-0.53,3.43,3.65,1
200176,C100086,2024-06-29T00:36,Email,High,billing_admin,Our discount was not applied to this renewal.,0.29,11.01,13.28,0
200177,C100087,2024-04-12T07:38,Phone,Medium,billing_admin,Our discount was not applied to this renewal.,-0.21,2.62,6.81,1
200178,C100087,2024-01-06T21:48,Chat,Medium,product_usability,Bulk upload flow is not intuitive.,0.07,0.73,2.01,1
200179,C100088,2024-09-02T14:02,Phone,High,product_performance,The reporting page keeps timing out.,0.49,5.23,62.46,1
200180,C100088,2024-12-11T10:47,In-App,Low,product_performance,The reporting page keeps timing out.,0.36,5.68,5.86,1
200181,C100089,2024-07-22T16:32,Phone,High,product_usability,Bulk upload flow is not intuitive.,-0.1,2.29,9.16,1
200182,C100089,2024-12-12T09:47,Phone,High,sales_expectation,We expected multi-warehouse support out of the box.,-0.08,0.89,1.1,1
200183,C100089,2024-10-20T04:48,Chat,High,billing_admin,We were charged for extra users we don't have.,-0.18,4.41,7.6,1
200184,C100089,2024-12-07T02:50,In-App,Low,billing_admin,Our discount was not applied to this renewal.,-0.42,4.35,8.99,0
200185,C100089,2024-05-10T11:43,Phone,Medium,product_performance,Mobile app crashes when I try to view inventory levels.,-0.16,2.08,29.38,1
200186,C100089,2024-10-11T21:14,In-App,Low,sales_expectation,Sales promised a custom report that doesn't exist.,-0.41,0.62,13.41,1
200187,C100089,2024-09-15T20:04,In-App,High,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",0.1,1.26,1.39,1
200188,C100090,2024-11-25T03:08,Email,High,sales_expectation,We expected multi-warehouse support out of the box.,-0.35,6.17,6.54,1
200189,C100090,2024-12-22T03:06,Chat,High,sales_expectation,We expected multi-warehouse support out of the box.,-0.3,21.31,26.37,1
200190,C100090,2024-05-05T14:23,In-App,Medium,product_usability,Search results are not clearly sorted.,-0.21,0.31,6.24,1
200191,C100091,2024-08-11T20:06,In-App,Medium,product_usability,Search results are not clearly sorted.,-0.11,10.14,20.64,1
200192,C100091,2024-09-17T22:23,Chat,Medium,sales_expectation,Sales promised a custom report that doesn't exist.,-0.1,2.54,2.68,1
200193,C100093,2024-07-01T03:43,Phone,Medium,product_usability,Bulk upload flow is not intuitive.,0.2,0.82,14.06,1
200194,C100094,2024-08-04T12:17,Chat,Urgent,sales_expectation,Sales promised a custom report that doesn't exist.,0.09,2.23,4.16,1
200195,C100094,2024-05-07T21:13,Email,Low,billing_admin,We were charged for extra users we don't have.,-0.26,10.31,13.28,1
200196,C100094,2024-12-26T04:50,Chat,Low,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",-0.28,0.55,13.9,1
200197,C100095,2024-08-13T07:21,Chat,High,product_usability,The new dashboard is confusing for my staff.,0.21,1.77,3.14,1
200198,C100095,2024-06-26T04:08,Phone,High,product_performance,The reporting page keeps timing out.,-0.28,2.69,3.44,1
200199,C100095,2024-08-26T04:00,Phone,High,product_performance,Dashboard loads very slowly during peak hours.,0.23,2.01,7.18,0
200200,C100095,2024-08-17T00:11,Phone,Low,product_usability,Bulk upload flow is not intuitive.,-0.29,0.7,5.79,1
200201,C100095,2024-06-15T23:04,In-App,Medium,billing_admin,We were charged for extra users we don't have.,-0.37,2.13,8.06,1
200202,C100095,2024-09-30T14:32,Chat,High,sales_expectation,Sales promised a custom report that doesn't exist.,-0.25,0.63,4.73,1
200203,C100095,2024-07-08T14:41,Email,Low,product_performance,The reporting page keeps timing out.,-0.44,4.64,9.3,1
200204,C100095,2024-10-01T13:43,Email,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.23,0.28,5.13,1
200205,C100095,2024-06-21T02:20,Chat,Low,billing_admin,We were charged for extra users we don't have.,-0.35,0.28,2.7,1
200206,C100095,2024-12-12T12:38,Phone,Medium,sales_expectation,Pricing discussed in the demo does not match our invoice.,-0.28,1.66,6.46,1
200207,C100096,2024-09-03T22:07,Chat,Medium,billing_admin,We were charged for extra users we don't have.,-0.2,0.87,4.26,0
200208,C100096,2024-12-14T10:52,In-App,Medium,product_usability,Search results are not clearly sorted.,0.15,1.78,21.91,1
200209,C100097,2024-09-01T13:20,Phone,Medium,product_performance,The reporting page keeps timing out.,-0.46,3.71,8.87,0
200210,C100097,2024-05-30T02:05,Email,Low,product_usability,Search results are not clearly sorted.,0.2,0.36,4.31,1
200211,C100097,2024-12-25T04:35,Email,Medium,product_performance,The reporting page keeps timing out.,-0.07,3.01,9.8,1
200212,C100098,2024-08-09T13:22,In-App,High,sales_expectation,Sales promised a custom report that doesn't exist.,-0.12,5.1,12.2,1
200213,C100099,2024-09-03T19:19,Phone,Low,product_performance,The reporting page keeps timing out.,0.05,2.61,3.94,1
200214,C100099,2024-09-29T21:30,Chat,High,product_usability,The new dashboard is confusing for my staff.,-0.1,0.14,57.68,1
200215,C100099,2024-09-10T03:48,Phone,Medium,sales_expectation,Pricing discussed in the demo does not match our invoice.,-0.79,4.23,7.2,1
200216,C100100,2024-10-25T19:59,Phone,Low,billing_admin,We were charged for extra users we don't have.,-0.19,2.76,14.34,1
200217,C100100,2024-12-11T10:22,Email,Low,sales_expectation,Pricing discussed in the demo does not match our invoice.,-0.4,0.33,2.22,1
200218,C100101,2024-09-18T02:09,Email,Low,product_usability,Search results are not clearly sorted.,0.3,4.31,10.51,0
200219,C100102,2024-04-22T13:29,Phone,Low,product_usability,Search results are not clearly sorted.,-0.01,0.29,0.38,1
200220,C100103,2024-10-06T18:38,Email,High,sales_expectation,Pricing discussed in the demo does not match our invoice.,0.2,0.37,27.64,1
200221,C100103,2024-07-08T19:03,Email,Medium,product_usability,The new dashboard is confusing for my staff.,-0.01,1.16,3.61,1
200222,C100103,2024-05-09T19:28,In-App,Medium,billing_admin,VAT appears to be calculated incorrectly.,-0.02,2.04,3.69,1
200223,C100103,2024-05-22T13:07,Phone,Medium,product_performance,The reporting page keeps timing out.,-0.53,3.47,11.96,1
200224,C100104,2024-11-11T01:14,In-App,Urgent,billing_admin,Our discount was not applied to this renewal.,-0.14,1.61,6.17,1
