customer_id,company_name,country,region,is_eu,industry,company_size_bucket,annual_contract_value,product_tier,sales_segment,acquisition_channel,contract_start_date,contract_end_date,renewed_flag,discount_pct,initial_onboarding_score,is_churned
C100052,Company_52,Spain,Europe,1,Hospitality,10-Jan,1632.39,Starter,SMB_Field,Outbound,2/14/2024,2/14/2025,0,0.27,8.5,0
C100053,Company_53,Australia,North America,0,Hospitality,Nov-50,5687.24,Growth,SMB_Inside,Inbound,8/13/2023,8/13/2024,0,0.28,6.4,0
C100054,Company_54,Australia,North America,0,Logistics,51-200,33657.92,Enterprise,MidMarket,SelfServe,8/19/2023,8/19/2024,0,0.33,4.8,0
C100055,Company_55,Netherlands,Europe,1,Ecommerce,10-Jan,2692.9,Growth,SMB_Inside,Outbound,2/1/2024,,1,0.2,7,0
C100056,Company_56,Canada,North America,0,Logistics,Nov-50,5397.67,Starter,SMB_Inside,Partner,9/11/2023,9/11/2024,0,0.16,5.6,0
C100057,Company_57,UK,Europe,1,,Nov-50,7876.56,Starter,SMB_Inside,Partner,12/22/2023,12/22/2024,0,0.18,4.4,0
C100058,Company_58,Spain,Europe,1,Retail,10-Jan,1249.33,Starter,SMB_Field,Inbound,12/12/2023,12/12/2024,0,0.41,6.9,0
C100059,Company_59,Spain,Europe,1,Wholesale,Nov-50,5901.53,Growth,SMB_Field,Inbound,10/18/2023,10/18/2024,0,0.14,7.3,0
C100060,Company_60,France,Europe,1,Professional Services,Nov-50,7644.76,Growth,SMB_Field,Outbound,6/5/2023,,1,0.06,6.6,0
C100061,Company_61,US,North America,0,Hospitality,10-Jan,1073.1,Starter,SMB_Inside,SelfServe,6/7/2023,9/6/2023,0,0.61,6.8,1
C100062,Company_62,UK,Europe,1,,Nov-50,4906.11,Starter,SMB_Inside,Partner,5/11/2023,,1,0.35,5.6,0
C100063,Company_63,Germany,Europe,1,Manufacturing,10-Jan,2113.44,Starter,SMB_Inside,Inbound,3/8/2023,,1,0.22,6.5,0
C100064,Company_64,Netherlands,Europe,1,Healthcare,10-Jan,1245.55,Starter,SMB_Inside,Inbound,5/31/2023,,1,0.17,3.7,0
C100065,Company_65,Germany,Europe,1,Logistics,Nov-50,5061.26,Starter,SMB_Inside,Inbound,8/14/2023,,1,0.37,6.5,0
C100066,Company_66,Netherlands,Europe,1,Professional Services,Nov-50,5817.85,Starter,SMB_Field,SelfServe,3/25/2024,9/24/2024,0,0.35,6.4,0
C100067,Company_67,Spain,Europe,1,Ecommerce,10-Jan,1994.93,Growth,SMB_Inside,Outbound,1/17/2023,7/19/2023,0,0.32,4.2,1
C100068,Company_68,Spain,Europe,1,Healthcare,51-200,22661.08,Enterprise,MidMarket,Inbound,7/9/2023,7/9/2024,0,0.23,6,0
C100069,Company_69,France,Europe,1,Healthcare,51-200,38104.89,Enterprise,MidMarket,Partner,4/21/2023,,1,0.28,3.9,0
C100070,Company_70,Spain,Europe,1,Retail,10-Jan,2376.8,Starter,SMB_Field,Inbound,5/9/2023,,1,0.05,4.7,0
C100071,Company_71,Germany,Europe,1,Manufacturing,10-Jan,2916.34,Starter,SMB_Inside,Partner,10/30/2023,,1,0.21,6.9,0
C100072,Company_72,Australia,North America,0,Retail,10-Jan,2176.53,Starter,SMB_Field,Outbound,2/16/2023,,1,0.03,6.1,0
C100073,Company_73,Spain,Europe,1,,Nov-50,7173.89,Growth,SMB_Inside,Partner,9/30/2023,9/30/2024,0,0.22,8.2,0
C100074,Company_74,France,Europe,1,Professional Services,Nov-50,5987.72,Growth,SMB_Inside,Outbound,6/10/2023,,1,0.12,7.6,0
C100075,Company_75,Netherlands,Europe,1,,Nov-50,9888.58,Starter,SMB_Inside,SelfServe,3/15/2024,3/16/2025,0,0.27,3.5,0
C100076,Company_76,Netherlands,Europe,1,Wholesale,10-Jan,1035.75,Starter,SMB_Field,Outbound,10/20/2023,,1,0.16,7.5,0
C100077,Company_77,Germany,Europe,1,,201-1000,132160.83,Enterprise,Enterprise,Partner,3/13/2023,,1,0.16,5.8,0
C100078,Company_78,Australia,North America,0,Wholesale,Nov-50,4217.27,Starter,SMB_Inside,SelfServe,1/13/2024,7/14/2024,0,0.41,4.9,0
C100079,Company_79,Australia,North America,0,Retail,51-200,21735.09,Growth,MidMarket,Outbound,9/24/2023,3/25/2024,0,0.3,6.1,1
C100080,Company_80,Canada,North America,0,Wholesale,51-200,30871.43,Growth,MidMarket,SelfServe,2/7/2023,,1,0.22,7.7,0
C100081,Company_81,Australia,North America,0,Manufacturing,51-200,29753.56,Enterprise,MidMarket,SelfServe,5/27/2023,,1,0.16,7.6,0
C100082,Company_82,UK,Europe,1,Manufacturing,10-Jan,2651.63,Starter,SMB_Inside,Outbound,9/6/2023,,1,0.18,6.6,0
C100083,Company_83,Canada,North America,0,Wholesale,10-Jan,2079.97,Enterprise,SMB_Inside,Partner,12/20/2023,,1,0.21,5.3,0
C100084,Company_84,Canada,North America,0,Healthcare,Nov-50,5106.74,Starter,SMB_Inside,SelfServe,8/30/2023,8/30/2024,0,0.13,5.9,0
C100085,Company_85,UK,Europe,1,Healthcare,1000+,284264.29,Enterprise,Enterprise,Partner,3/11/2024,9/10/2024,0,0.22,8,0
C100086,Company_86,Germany,Europe,1,,51-200,35626.29,Growth,MidMarket,SelfServe,4/9/2023,10/9/2023,0,0.33,4.9,1
C100087,Company_87,Germany,Europe,1,,1000+,487582.17,Enterprise,Enterprise,Partner,12/23/2023,12/23/2024,0,0.44,4.8,0
C100088,Company_88,Netherlands,Europe,1,,10-Jan,2086.47,Growth,SMB_Inside,Outbound,9/28/2023,3/29/2024,0,0.16,8.5,1
C100089,Company_89,Spain,Europe,1,Wholesale,10-Jan,2196.65,Enterprise,SMB_Field,Partner,6/2/2023,9/1/2023,0,0.01,4.1,1
C100090,Company_90,Netherlands,Europe,1,Wholesale,Nov-50,3507.13,Growth,SMB_Inside,Inbound,3/13/2023,,1,0.3,7.3,0
C100091,Company_91,Australia,North America,0,,51-200,10551.03,Growth,MidMarket,Inbound,2/15/2023,,1,0.27,4.5,0
C100092,Company_92,US,North America,0,Retail,Nov-50,3929.01,Starter,SMB_Inside,Outbound,2/10/2024,2/10/2025,0,0.35,8,0
C100093,Company_93,Netherlands,Europe,1,,Nov-50,7377.13,Growth,SMB_Inside,SelfServe,11/24/2023,11/24/2024,0,0.32,9.7,0
C100094,Company_94,Australia,North America,0,Ecommerce,Nov-50,3571.41,Growth,SMB_Field,SelfServe,12/28/2023,12/28/2024,0,0.09,10,0
C100095,Company_95,UK,Europe,1,Wholesale,51-200,22097.84,Enterprise,MidMarket,Partner,2/16/2024,2/16/2025,0,0.26,5.7,0
C100096,Company_96,US,North America,0,Healthcare,201-1000,80814.26,Enterprise,Enterprise,Inbound,1/4/2023,,1,0.15,8.2,0
C100097,Company_97,Netherlands,Europe,1,Manufacturing,51-200,23974.38,Enterprise,MidMarket,SelfServe,5/11/2023,,1,0.14,5.5,0
C100098,Company_98,UK,Europe,1,Hospitality,10-Jan,1810.04,Starter,SMB_Field,Inbound,11/14/2023,2/13/2024,0,0.25,3.8,1
C100099,Company_99,Germany,Europe,1,Healthcare,51-200,23613.69,Growth,MidMarket,SelfServe,10/28/2023,10/28/2024,0,0.52,5.8,0
C100100,Company_100,US,North America,0,Professional Services,Nov-50,7238.77,Growth,SMB_Field,SelfServe,10/11/2023,,1,0.44,7.3,0
C100101,Company_101,Germany,Europe,1,Ecommerce,10-Jan,1449.4,Starter,SMB_Field,Outbound,10/12/2023,,1,0.1,7.4,0
C100102,Company_102,Germany,Europe,1,Ecommerce,10-Jan,2333.73,Enterprise,SMB_Inside,SelfServe,3/2/2024,9/1/2024,0,0.41,4.3,0
C100103,Company_103,Spain,Europe,1,Healthcare,1000+,156130.6,Enterprise,Enterprise,Outbound,3/2/2024,3/3/2025,0,0.4,6,0
C100104,Company_104,Germany,Europe,1,Hospitality,201-1000,113366.87,Enterprise,Enterprise,Partner,5/22/2023,,1,0.02,8.1,0
C100105,Company_105,Spain,Europe,1,,51-200,19810.99,Growth,MidMarket,Outbound,1/16/2024,1/16/2025,0,0.11,7.7,0
C100106,Company_106,Germany,Europe,1,,201-1000,109322.96,Growth,Enterprise,Inbound,8/1/2023,8/1/2024,0,0.2,8,0
C100107,Company_107,Germany,Europe,1,Ecommerce,10-Jan,2084.73,Starter,SMB_Inside,Outbound,3/5/2024,9/4/2024,0,0.27,7.2,0
C100108,Company_108,Netherlands,Europe,1,Manufacturing,51-200,12138.41,Enterprise,MidMarket,Partner,12/2/2023,12/2/2024,0,0.04,6.2,0
C100109,Company_109,France,Europe,1,Logistics,10-Jan,2435.27,Growth,SMB_Inside,SelfServe,5/24/2023,,1,0.19,6,0
C100110,Company_110,Canada,North America,0,Professional Services,51-200,24506.37,Growth,MidMarket,SelfServe,2/5/2023,,1,0.14,6.8,0
C100111,Company_111,Netherlands,Europe,1,,Nov-50,8389.61,Growth,SMB_Inside,Inbound,6/19/2023,,1,0.31,4.5,0
C100112,Company_112,Canada,North America,0,Ecommerce,51-200,15040.43,Growth,MidMarket,Partner,8/30/2023,,1,0.23,6.4,0
C100113,Company_113,Australia,North America,0,Retail,Nov-50,7179.33,Growth,SMB_Inside,Outbound,11/16/2023,11/16/2024,0,0.29,3.2,0
C100114,Company_114,Germany,Europe,1,Logistics,1000+,245956.23,Enterprise,Enterprise,Outbound,2/11/2023,,1,0.09,5.6,0
C100115,Company_115,Germany,Europe,1,Professional Services,Nov-50,4332.27,Growth,SMB_Inside,Inbound,2/27/2023,,1,0.27,7.5,0
C100116,Company_116,Spain,Europe,1,Healthcare,10-Jan,1002.47,Starter,SMB_Inside,Outbound,5/1/2023,5/1/2024,0,0.03,7,1
C100117,Company_117,Germany,Europe,1,Wholesale,10-Jan,1514.09,Growth,SMB_Field,Outbound,5/29/2023,,1,0.21,5.4,0
C100118,Company_118,US,North America,0,,10-Jan,2746.67,Starter,SMB_Inside,Outbound,2/11/2024,2/11/2025,0,0.12,8.2,0
C100119,Company_119,France,Europe,1,Healthcare,10-Jan,2442.84,Starter,SMB_Inside,Outbound,8/4/2023,,1,0.16,7.1,0
C100120,Company_120,Spain,Europe,1,Logistics,201-1000,59232.25,Growth,Enterprise,SelfServe,11/6/2023,11/6/2024,0,0.26,5.7,0
C100121,Company_121,Australia,North America,0,,Nov-50,7160.04,Enterprise,SMB_Inside,SelfServe,5/8/2023,,1,0.3,3.6,0
C100122,Company_122,Spain,Europe,1,,51-200,30851.06,Growth,MidMarket,Outbound,9/10/2023,9/10/2024,0,0.38,5.2,0
C100123,Company_123,Netherlands,Europe,1,Healthcare,10-Jan,2230.44,Starter,SMB_Inside,Partner,2/9/2023,2/10/2024,0,0.43,3.2,1
C100124,Company_124,France,Europe,1,Healthcare,Nov-50,5930.06,Growth,SMB_Field,Outbound,3/3/2023,,1,0.09,7.9,0
C100125,Company_125,Spain,Europe,1,Ecommerce,10-Jan,1531.7,Starter,SMB_Field,SelfServe,6/13/2023,,1,0.1,7.3,0
C100126,Company_126,Spain,Europe,1,Hospitality,Nov-50,5207.85,Enterprise,SMB_Field,SelfServe,1/17/2023,1/18/2024,0,0.12,6,1
C100127,Company_127,France,Europe,1,Logistics,51-200,16808.94,Enterprise,MidMarket,Partner,8/2/2023,8/2/2024,0,0.12,6.6,0
C100128,Company_128,Australia,North America,0,Retail,10-Jan,2017.16,Starter,SMB_Inside,Partner,6/1/2023,,1,0.2,5.9,0
C100129,Company_129,Germany,Europe,1,Manufacturing,10-Jan,1165.24,Starter,SMB_Inside,SelfServe,11/16/2023,,1,0.29,5.3,0
C100130,Company_130,Canada,North America,0,Ecommerce,10-Jan,2840.59,Starter,SMB_Inside,Outbound,1/9/2024,7/10/2024,0,0.23,6.4,0
C100131,Company_131,US,North America,0,,201-1000,107423.35,Growth,Enterprise,Outbound,5/4/2023,,1,0.17,7.8,0
C100132,Company_132,US,North America,0,,10-Jan,2552.89,Growth,SMB_Inside,SelfServe,10/29/2023,,1,0.11,4.2,0
C100133,Company_133,Spain,Europe,1,,51-200,24651.82,Enterprise,MidMarket,Partner,2/19/2023,,1,0.18,7.4,0
C100134,Company_134,Canada,North America,0,Healthcare,51-200,23846.72,Enterprise,MidMarket,Inbound,4/21/2023,4/21/2024,0,0.3,4.7,1
C100135,Company_135,Australia,North America,0,,201-1000,107647.61,Growth,Enterprise,SelfServe,10/29/2023,10/29/2024,0,0.05,7.2,0
C100136,Company_136,France,Europe,1,Hospitality,51-200,14466.64,Enterprise,MidMarket,SelfServe,3/16/2023,,1,0.26,3.1,0
C100137,Company_137,Germany,Europe,1,Hospitality,10-Jan,2588.39,Starter,SMB_Field,Outbound,3/5/2024,,1,0.26,5.9,0
C100138,Company_138,France,Europe,1,Professional Services,10-Jan,1154.12,Growth,SMB_Field,SelfServe,2/7/2024,8/8/2024,0,0.08,5.3,0
C100139,Company_139,Canada,North America,0,Manufacturing,51-200,17075.73,Growth,MidMarket,Partner,4/23/2023,,1,0.12,5.3,0
C100140,Company_140,Netherlands,Europe,1,,Nov-50,7003.11,Growth,SMB_Inside,SelfServe,3/16/2023,3/16/2024,0,0.35,4.3,1
C100141,Company_141,US,North America,0,,Nov-50,8969.1,Growth,SMB_Field,Inbound,2/7/2024,2/7/2025,0,0.18,7.5,0
C100142,Company_142,France,Europe,1,,10-Jan,1114.56,Growth,SMB_Inside,SelfServe,11/9/2023,,1,0.18,4.5,0
C100143,Company_143,Spain,Europe,1,,10-Jan,2949.67,Starter,SMB_Field,Partner,8/8/2023,2/7/2024,0,0.15,6.3,1
C100144,Company_144,UK,Europe,1,Retail,201-1000,138981.67,Growth,Enterprise,Partner,1/7/2023,,1,0.15,6.7,0
C100145,Company_145,UK,Europe,1,,51-200,14348.95,Enterprise,MidMarket,Outbound,1/21/2023,,1,0.08,5.9,0
C100146,Company_146,Netherlands,Europe,1,Retail,Nov-50,7954.85,Starter,SMB_Inside,Partner,6/18/2023,6/18/2024,0,0.39,4.6,1
C100147,Company_147,UK,Europe,1,Retail,51-200,32478.51,Growth,MidMarket,SelfServe,3/10/2024,9/9/2024,0,0.35,2.7,0
C100148,Company_148,Spain,Europe,1,Healthcare,10-Jan,1323.24,Growth,SMB_Field,SelfServe,8/1/2023,,1,0.17,6.9,0
C100149,Company_149,UK,Europe,1,Hospitality,10-Jan,1903.39,Starter,SMB_Inside,Partner,9/19/2023,12/19/2023,0,0.1,8.1,1
C100150,Company_150,Australia,North America,0,,51-200,30876.97,Enterprise,MidMarket,Outbound,2/11/2023,,1,0.08,6.1,0
C100151,Company_151,Australia,North America,0,,Nov-50,5192.13,Starter,SMB_Inside,SelfServe,6/25/2023,,1,0.07,7.4,0
C100152,Company_152,France,Europe,1,Healthcare,201-1000,98013.96,Growth,Enterprise,Inbound,1/25/2023,,1,0.15,7.4,0
C100153,Company_153,UK,Europe,1,Logistics,10-Jan,1988.42,Starter,SMB_Inside,SelfServe,4/1/2024,7/1/2024,0,0.35,6.6,0
C100154,Company_154,Australia,North America,0,Retail,Nov-50,8175.06,Growth,SMB_Inside,Partner,10/16/2023,10/16/2024,0,0.42,6.5,0
C100155,Company_155,US,North America,0,,51-200,19159.32,Growth,MidMarket,Outbound,2/13/2024,2/13/2025,0,0.43,6.8,0
C100156,Company_156,Spain,Europe,1,Manufacturing,201-1000,82873.53,Enterprise,Enterprise,Partner,3/18/2024,3/19/2025,0,0.3,4.1,0
C100157,Company_157,Germany,Europe,1,Hospitality,1000+,471326.79,Starter,Enterprise,SelfServe,12/10/2023,12/10/2024,0,0.3,7.2,0
C100158,Company_158,France,Europe,1,Hospitality,1000+,372281.19,Growth,Enterprise,Partner,5/1/2023,,1,0.28,5.7,0
C100159,Company_159,US,North America,0,,10-Jan,2197.62,Growth,SMB_Field,Inbound,3/18/2024,9/17/2024,0,0.11,7,0
C100160,Company_160,Netherlands,Europe,1,Hospitality,51-200,25643.37,Growth,MidMarket,Outbound,2/19/2023,8/21/2023,0,0.43,7.4,1
C100161,Company_161,Spain,Europe,1,Manufacturing,10-Jan,1633.89,Growth,SMB_Inside,Inbound,12/9/2023,,1,0.39,8.5,0
C100162,Company_162,France,Europe,1,,51-200,33602.51,Growth,MidMarket,SelfServe,9/17/2023,9/17/2024,0,0.1,5.3,0
C100163,Company_163,US,North America,0,Healthcare,Nov-50,3319.54,Growth,SMB_Field,Inbound,9/25/2023,9/25/2024,0,0.17,4.4,0
C100164,Company_164,Germany,Europe,1,,Nov-50,8833.22,Growth,SMB_Field,Outbound,1/4/2024,1/4/2025,0,0.19,3.8,0
C100165,Company_165,Australia,North America,0,,Nov-50,3796.87,Starter,SMB_Inside,Inbound,2/10/2023,,1,0.37,5.3,0
C100166,Company_166,France,Europe,1,Professional Services,51-200,18901.83,Enterprise,MidMarket,SelfServe,3/20/2024,3/21/2025,0,0.09,7.5,0
C100167,Company_167,France,Europe,1,Ecommerce,51-200,13630.75,Enterprise,MidMarket,SelfServe,3/23/2023,,1,0.41,6.5,0
C100168,Company_168,US,North America,0,Manufacturing,Nov-50,4080.25,Starter,SMB_Inside,Outbound,7/20/2023,,1,0.11,7.8,0
C100169,Company_169,Netherlands,Europe,1,Retail,10-Jan,2820.27,Starter,SMB_Inside,Partner,10/28/2023,,1,0.1,6,0
C100170,Company_170,France,Europe,1,Healthcare,51-200,33951.41,Enterprise,MidMarket,Outbound,7/7/2023,7/7/2024,0,0.21,5.3,0
C100171,Company_171,UK,Europe,1,Hospitality,Nov-50,7520.18,Growth,SMB_Inside,SelfServe,6/5/2023,,1,0.14,7.2,0
C100172,Company_172,Australia,North America,0,Ecommerce,Nov-50,3983.87,Growth,SMB_Inside,Partner,1/23/2024,7/24/2024,0,0.34,5.3,0
C100173,Company_173,France,Europe,1,,10-Jan,1917.05,Starter,SMB_Field,Outbound,9/19/2023,,1,0.27,6.7,0
C100174,Company_174,France,Europe,1,,Nov-50,8414.77,Enterprise,SMB_Inside,Inbound,8/12/2023,8/12/2024,0,0.07,4.1,0
C100175,Company_175,Spain,Europe,1,Manufacturing,51-200,11729.43,Enterprise,MidMarket,Inbound,2/20/2023,,1,0.08,8.2,0
C100176,Company_176,Germany,Europe,1,Ecommerce,10-Jan,2138.75,Starter,SMB_Inside,SelfServe,12/4/2023,,1,0.04,4.5,0
C100177,Company_177,France,Europe,1,Healthcare,201-1000,90431.31,Enterprise,Enterprise,Partner,11/6/2023,,1,0.11,6.7,0
C100178,Company_178,France,Europe,1,Healthcare,201-1000,123797.8,Growth,Enterprise,Partner,2/21/2024,2/21/2025,0,0.46,10,0
C100179,Company_179,Germany,Europe,1,Manufacturing,201-1000,128724.83,Enterprise,Enterprise,Partner,8/27/2023,8/27/2024,0,0.2,4.3,0
C100180,Company_180,Australia,North America,0,,10-Jan,2525.19,Starter,SMB_Inside,Inbound,10/14/2023,,1,0.17,6.7,0
C100181,Company_181,US,North America,0,Professional Services,10-Jan,1179.62,Growth,SMB_Inside,Outbound,9/21/2023,9/21/2024,0,0.47,5.4,0
C100182,Company_182,Germany,Europe,1,Professional Services,Nov-50,3462.07,Growth,SMB_Field,SelfServe,2/18/2024,2/18/2025,0,0.19,6.2,0
C100183,Company_183,UK,Europe,1,Manufacturing,10-Jan,2414.17,Starter,SMB_Field,Partner,6/11/2023,,1,0.05,7.6,0
C100184,Company_184,Spain,Europe,1,Retail,51-200,22483.64,Enterprise,MidMarket,Inbound,2/7/2024,8/8/2024,0,0.13,5.3,0
C100185,Company_185,UK,Europe,1,Professional Services,Nov-50,8757.74,Growth,SMB_Inside,Outbound,2/16/2024,2/16/2025,0,0.14,5.5,0
C100186,Company_186,Canada,North America,0,,10-Jan,1000.27,Starter,SMB_Field,SelfServe,2/18/2023,5/20/2023,0,0.31,5.8,1
C100187,Company_187,Spain,Europe,1,Professional Services,201-1000,102148.28,Growth,Enterprise,Inbound,4/17/2023,,1,0.15,3.7,0
C100188,Company_188,Germany,Europe,1,,10-Jan,1278.23,Starter,SMB_Inside,Inbound,4/30/2023,10/30/2023,0,0.07,6.6,1
